QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0052581	0	VTO_0052581	1.0
VTO_0052581	1	VTO_0052581	1.0
VTO_0052581	2	VTO_0052581	1.0
VTO_0052581	3	VTO_0052581	1.0
VTO_0052581	4	VTO_0052581	1.0
VTO_0052581	5	VTO_0052581	1.0
VTO_0052581	6	VTO_0052581	1.0
VTO_0052581	7	VTO_0052581	1.0
VTO_0052581	8	VTO_0052581	1.0
VTO_0052581	9	VTO_0052581	1.0
VTO_0052581	10	VTO_0052581	0.761098385689
VTO_0052581	11	VTO_0037519	0.55837586176
VTO_0052581	12	VTO_0037519	0.562942071806
VTO_0052581	13	VTO_0037519	0.579399494103
VTO_0052581	14	VTO_0037519	0.579399494103
VTO_0052581	15	VTO_0037519	0.562942071806
VTO_0052581	16	VTO_0037519	0.575415849703
VTO_0052581	17	VTO_0037519	0.562942071806
VTO_0052581	18	VTO_0037519	0.559856794748
VTO_0052581	19	VTO_0037519	0.565377020856
VTO_0052581	20	VTO_0037519	0.555531897444
VTO_0037490	0	VTO_0037490	1.0
VTO_0037490	1	VTO_0037490	1.0
VTO_0037490	2	VTO_0037490	1.0
VTO_0037490	3	VTO_0037490	1.0
VTO_0037490	4	VTO_0037490	1.0
VTO_0037490	5	VTO_0037490	1.0
VTO_0037490	6	VTO_0037490	1.0
VTO_0037490	7	VTO_0037490	1.0
VTO_0037490	8	VTO_0037490	1.0
VTO_0037490	9	VTO_0037490	1.0
VTO_0037490	10	VTO_0037490	0.762038688435
VTO_0037490	11	VTO_0002210	0.576027726546
VTO_0037490	12	VTO_0002210	0.57386350545
VTO_0037490	13	VTO_0002210	0.572702227114
VTO_0037490	14	VTO_0002210	0.560033308195
VTO_0037490	15	VTO_0002210	0.549433765702
VTO_0037490	16	VTO_0002210	0.550763952867
VTO_0037490	17	VTO_0037519	0.561180619533
VTO_0037490	18	VTO_0037519	0.561180619533
VTO_0037490	19	VTO_0034991	0.569558887229
VTO_0037490	20	VTO_0034991	0.587757607135
VTO_0080000	0	VTO_0080000	1.0
VTO_0080000	1	VTO_0080000	1.0
VTO_0080000	2	VTO_0080000	1.0
VTO_0080000	3	VTO_0080000	1.0
VTO_0080000	4	VTO_0080000	1.0
VTO_0080000	5	VTO_0080000	1.0
VTO_0080000	6	VTO_0080000	1.0
VTO_0080000	7	VTO_0080000	1.0
VTO_0080000	8	VTO_0080000	1.0
VTO_0080000	9	VTO_0080000	1.0
VTO_0080000	10	VTO_0080000	0.780898876404
VTO_0080000	11	VTO_0034991	0.637603226426
VTO_0080000	12	VTO_0034991	0.636419234003
VTO_0080000	13	VTO_0034991	0.639568840303
VTO_0080000	14	VTO_0034991	0.641948432916
VTO_0080000	15	VTO_0034991	0.641948432916
VTO_0080000	16	VTO_0034991	0.638798826617
VTO_0080000	17	VTO_0034991	0.632788127573
VTO_0080000	18	VTO_0034991	0.637603226426
VTO_0080000	19	VTO_0034991	0.630667612046
VTO_0080000	20	VTO_0034991	0.624656913002
VTO_0003943	0	VTO_0003943	1.0
VTO_0003943	1	VTO_0003943	1.0
VTO_0003943	2	VTO_0003943	1.0
VTO_0003943	3	VTO_0003943	1.0
VTO_0003943	4	VTO_0003943	1.0
VTO_0003943	5	VTO_0003943	1.0
VTO_0003943	6	VTO_0003943	1.0
VTO_0003943	7	VTO_0003943	1.0
VTO_0003943	8	VTO_0003943	1.0
VTO_0003943	9	VTO_0003943	1.0
VTO_0003943	10	VTO_0003943	0.878787878788
VTO_0003943	11	VTO_0003943	0.647605083089
VTO_0003943	12	VTO_0037519	0.594109681788
VTO_0003943	13	VTO_0037519	0.601851851852
VTO_0003943	14	VTO_0037519	0.600723438401
VTO_0003943	15	VTO_0037519	0.600723438401
VTO_0003943	16	VTO_0037519	0.601851851852
VTO_0003943	17	VTO_0037519	0.594109681788
VTO_0003943	18	VTO_0034991	0.585606280427
VTO_0003943	19	VTO_0034991	0.598020005041
VTO_0003943	20	VTO_0034991	0.598020005041
VTO_9007203	0	VTO_9007203	1.0
VTO_9007203	1	VTO_9007203	1.0
VTO_9007203	2	VTO_9007203	1.0
VTO_9007203	3	VTO_9007203	1.0
VTO_9007203	4	VTO_9007203	1.0
VTO_9007203	5	VTO_9007203	1.0
VTO_9007203	6	VTO_9007203	1.0
VTO_9007203	7	VTO_9007203	1.0
VTO_9007203	8	VTO_9007203	1.0
VTO_9007203	9	VTO_9007203	1.0
VTO_9007203	10	VTO_9007203	0.790190552872
VTO_9007203	11	VTO_0062285	0.604450256336
VTO_9007203	12	VTO_0034991	0.571418726211
VTO_9007203	13	VTO_0034991	0.570300157978
VTO_9007203	14	VTO_0034991	0.571418726211
VTO_9007203	15	VTO_0034991	0.571418726211
VTO_9007203	16	VTO_0034991	0.566978193146
VTO_9007203	17	VTO_0034991	0.572567783094
VTO_9007203	18	VTO_0034991	0.570300157978
VTO_9007203	19	VTO_0034991	0.577235772358
VTO_9007203	20	VTO_0034991	0.581801982404
